row,col,6oct,23nov,30nov,28dec
0,0,3.833333333,8.666666667,15.42857143,47
0,1,4.444444444,8.444444444,17.5,43.22222222
0,2,4.5,7.666666667,34,44.66666667
0,3,4,8.666666667,48,43.16666667
0,4,4.333333333,8.555555556,20.5,43
0,5,3,9.166666667,19,39.33333333
0,6,3.222222222,8.888888889,27,38.11111111
0,7,4.5,8.833333333,31.16666667,41.83333333
0,8,4.333333333,9.166666667,30.25,41.5
0,9,4.333333333,8.333333333,29.33333333,39.66666667
0,10,4.666666667,9,32,43.66666667
0,11,4,10.5,66.66666667,45.83333333
0,12,5.111111111,9.555555556,58,43.77777778
0,13,4.666666667,9.166666667,30.83333333,42.16666667
0,14,3.333333333,10,21.75,40.83333333
0,15,3.888888889,8.777777778,20.33333333,44.55555556
0,16,4.333333333,9.666666667,19.5,45.33333333
0,17,4.222222222,8.777777778,18,43.66666667
0,18,4.666666667,9.333333333,19.5,42.83333333
0,19,4,9.333333333,19,45.5
0,20,6.222222222,10.88888889,18.5,43.88888889
0,21,5.5,10.66666667,18.16666667,45.33333333
0,22,5,11,18.16666667,48.16666667
0,23,5.555555556,11.33333333,20,53.44444444
0,24,7.666666667,13.16666667,22,58.33333333
0,25,8,18.16666667,52,76
0,26,9,22.11111111,54.66666667,90.77777778
0,27,27.5,22.83333333,102.25,180
0,28,12.11111111,26,85.5,114.8888889
0,29,19.33333333,29.66666667,70.5,106
0,30,14.33333333,26.5,54.85714286,98
0,31,109.2222222,139.6666667,137.8333333,173.6666667
0,32,153,113.5,192.4444444,185.6666667
1,0,4,9.25,16.33333333,44
1,1,3.166666667,7.833333333,18.5,41
1,2,2.5,8,40,40.75
1,3,3.5,8,38,40.75
1,4,4,8,19.66666667,42.33333333
1,5,5.5,9,20.25,37.5
1,6,3.833333333,9,36.83333333,41
1,7,4,7.75,26.5,43.75
1,8,3.5,8.5,35.5,41
1,9,3.833333333,9,37,41.16666667
1,10,3.75,8.5,38,42.5
1,11,4.5,9,35,40
1,12,4.5,9.333333333,32,45.66666667
1,13,4,8.5,27.66666667,44.5
1,14,3.75,9.25,23.75,43
1,15,4,9.666666667,18.5,42.83333333
1,16,4,9,19,43
1,17,3.5,9.666666667,19.5,44.33333333
1,18,4.25,10.5,16.75,43.5
1,19,4.75,9.5,17,45.5
1,20,5.166666667,10.66666667,21,48
1,21,5.5,10.5,16,45
1,22,5.5,11,18.5,48.5
1,23,6,11,19.16666667,52
1,24,10,13.5,29.16666667,59.5
1,25,9.5,17.5,44.33333333,67.5
1,26,8.666666667,18.66666667,43.22222222,83
1,27,9.5,21.5,49.33333333,86
1,28,8.5,24.33333333,48.66666667,90.33333333
1,29,46.75,67.75,89.16666667,106.75
1,30,113.75,55.5,111.75,119
1,31,50,32.83333333,65,107.3333333
1,32,15.25,27.25,47,89
2,0,4,8,22,42.66666667
2,1,3.222222222,7.666666667,26.75,43.77777778
2,2,4.166666667,7.833333333,21.16666667,38.83333333
2,3,4.166666667,8.166666667,20.25,40.66666667
2,4,4.111111111,8.333333333,17.33333333,38.88888889
2,5,3.333333333,8.333333333,20,41.16666667
2,6,3.777777778,9.666666667,49,40.66666667
2,7,3.666666667,8.333333333,43,43.16666667
2,8,3.666666667,8.166666667,43.5,40.33333333
2,9,4.222222222,8.666666667,46.16666667,43
2,10,4.333333333,8.5,35.5,42.33333333
2,11,4,8,32.83333333,44.16666667
2,12,3.555555556,8.555555556,32,44.11111111
2,13,5.5,8.333333333,43.33333333,43.5
2,14,4.5,8.666666667,32,41.33333333
2,15,4.222222222,9.555555556,21.33333333,42.22222222
2,16,4.666666667,10.66666667,17.5,41.83333333
2,17,4.555555556,10.44444444,17.83333333,45.33333333
2,18,4.333333333,10.66666667,17.5,40
2,19,4.833333333,10.33333333,18.28571429,39.66666667
2,20,6,10.44444444,17.16666667,47.55555556
2,21,6,11,17.33333333,46.83333333
2,22,5.666666667,11.66666667,18.66666667,47
2,23,7.333333333,13.22222222,22.55555556,52.88888889
2,24,7.333333333,19.83333333,34.875,70.83333333
2,25,7.166666667,17.16666667,36.4,71.5
2,26,7.777777778,18.22222222,38.66666667,73.22222222
2,27,6.833333333,18.66666667,39,79.66666667
2,28,13.22222222,21.88888889,52.83333333,86.22222222
2,29,80.16666667,76.5,118.25,133.3333333
2,30,186.1666667,154.8333333,171.6666667,159.3333333
2,31,82.11111111,109,57,119.4444444
2,32,25.83333333,25.66666667,56.66666667,100
3,0,4.25,8,28.16666667,41.75
3,1,4.166666667,7.666666667,30.5,42.83333333
3,2,4.5,8.25,31.66666667,40.5
3,3,4.5,7.75,32.75,40.25
3,4,4,8.333333333,22.16666667,37.33333333
3,5,4,8.5,22,39
3,6,4.666666667,8,32.66666667,37.33333333
3,7,3.5,9,42.5,42.5
3,8,4.25,8,51.66666667,42.25
3,9,5,8.833333333,53.66666667,43.33333333
3,10,5.5,8.25,34,41.25
3,11,3,8,22,39.25
3,12,4.666666667,9.166666667,19,42.83333333
3,13,4,8.75,27.625,42.75
3,14,4,9,36,42.25
3,15,4.5,8,21.11111111,39.5
3,16,4,8.5,17.83333333,40
3,17,5.333333333,9.333333333,16.55555556,42.66666667
3,18,4.75,9.5,17,44.25
3,19,5.5,10,18.5,52
3,20,5.666666667,10.66666667,18.5,48.83333333
3,21,6,11.25,18.66666667,49
3,22,6.75,14.75,19,49.5
3,23,6.833333333,22.33333333,31.5,63.33333333
3,24,7,20,40.25,72.5
3,25,10.75,17,38.66666667,73.5
3,26,9.666666667,17.16666667,35.66666667,72.5
3,27,7,17.5,38,69.75
3,28,10,20.5,43.33333333,80.83333333
3,29,34.75,40,81,145.75
3,30,45.75,266.5,276,193
3,31,41.83333333,173,83.5,148.6666667
3,32,231.75,423.5,158.3333333,163.5
4,0,5.5,8,35.66666667,45.25
4,1,4.833333333,7.666666667,25,40.33333333
4,2,4.5,8,31.83333333,41.5
4,3,4.5,8,37.25,42.25
4,4,3.833333333,9.5,30.5,38.5
4,5,3.25,8,31,38.5
4,6,3.5,7.666666667,45.16666667,37
4,7,3.75,8.5,49.4,39.75
4,8,4.5,7.75,42.44444444,42
4,9,5.5,9,38.5,44.16666667
4,10,5,8.75,37.71428571,41.5
4,11,4.5,8,25.22222222,40.25
4,12,4.666666667,8.333333333,20.33333333,42.66666667
4,13,6,9.5,21.85714286,44
4,14,4,10,20,44
4,15,4.333333333,9.333333333,18.83333333,36.66666667
4,16,4.25,10,16.75,39.25
4,17,4,8.333333333,18.5,39.83333333
4,18,4.5,9.25,17.5,49.75
4,19,5,9.25,17.33333333,39.75
4,20,5.333333333,8.666666667,18.5,44.33333333
4,21,5,10,17,46.5
4,22,6.5,15.5,24.75,58.5
4,23,7.333333333,18.66666667,36.33333333,69.16666667
4,24,7,18,38.25,79
4,25,9,16,36.5,66
4,26,8.333333333,18.83333333,37,66.33333333
4,27,8.75,17.25,36.83333333,74
4,28,8.333333333,19,43,80.16666667
4,29,8.5,21,46.5,96.5
4,30,9,45,113.6666667,163.75
4,31,10.66666667,47.16666667,73.75,154.8333333
4,32,13,176.5,175.5,144.25
5,0,4.833333333,7.833333333,35.85714286,40.66666667
5,1,6.111111111,8.111111111,36.66666667,38.22222222
5,2,5.333333333,7.666666667,32.11111111,37
5,3,4.333333333,7.5,47,40.66666667
5,4,4.888888889,8.222222222,37.11111111,40.33333333
5,5,4.666666667,8.666666667,33.33333333,39.33333333
5,6,3.222222222,8.111111111,55.11111111,36.55555556
5,7,2.5,8,73.8,40.83333333
5,8,4.666666667,7.333333333,61,41.5
5,9,4.666666667,8.444444444,29.25,40.66666667
5,10,3.833333333,8.166666667,28,40.83333333
5,11,4.333333333,8.5,22.5,36.5
5,12,5.333333333,8.444444444,18.5,41.66666667
5,13,4.5,9,17.83333333,45.16666667
5,14,4.166666667,8.333333333,19,42.33333333
5,15,4.444444444,8.333333333,19,42.22222222
5,16,4,9.333333333,21,39.83333333
5,17,4.333333333,8.888888889,19.83333333,40.88888889
5,18,4.333333333,9.166666667,16,44.33333333
5,19,4.5,9.166666667,17.83333333,46.33333333
5,20,5.666666667,10.33333333,18.25,46
5,21,7,11.66666667,23.33333333,65.5
5,22,11.5,14.5,35.5,70.5
5,23,9.888888889,15.11111111,38,65.22222222
5,24,8.666666667,22.5,38,67.66666667
5,25,10.83333333,108.1666667,37.33333333,65.33333333
5,26,21.66666667,79.55555556,36.75,70.66666667
5,27,23,20,36.5,76.66666667
5,28,10.55555556,18.44444444,43.16666667,74.55555556
5,29,8.666666667,56.66666667,42.75,79
5,30,11,21.5,46.5,83
5,31,8.555555556,20.66666667,50,90.44444444
5,32,15.33333333,29.5,50,102.1666667
6,0,5,7.5,22.375,43
6,1,5.666666667,8,37.5,41.83333333
6,2,4.25,8,36.5,38
6,3,5.5,7.75,42.5,41.75
6,4,4,8.166666667,51.16666667,45.83333333
6,5,3,9,60,39
6,6,3.833333333,7.833333333,36,39.66666667
6,7,4.25,8,35,40
6,8,3.5,9,38.66666667,44
6,9,3.833333333,9.333333333,31.5,39.83333333
6,10,4,9,21,39.75
6,11,4.75,8.25,18.8,41
6,12,4.333333333,8.666666667,19,43.33333333
6,13,3,9,20,50
6,14,4.5,8.5,15.5,42.5
6,15,4.166666667,8.833333333,17.66666667,42.66666667
6,16,4.5,9,18.25,40.25
6,17,5.333333333,8.833333333,15.83333333,45
6,18,4.5,9,15.25,43.5
